CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,INJURED_PERSONS,KILLED_PERSONS,INJURED_PEDESTRIANS,KILLED_PEDESTRIANS,INJURED_CYCLISTS,KILLED_CYCLISTS,INJURED_MOTORISTS,KILLED_MOTORISTS,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,COLLISION_ID,VEHICLE_TYPE_1,VEHICLE_TYPE_2,VEHICLE_TYPE_3,VEHICLE_TYPE_4,VEHICLE_TYPE_5
06/13/2016,5:30,MANHATTAN,10019,,,,WEST 56 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3461092,PASSENGER VEHICLE,,,,
01/06/2020,17:20,BRONX,10460,,,,CROSS BRONX EXPRESSWAY          ,ROSEDALE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4272198,Sedan,Sedan,,,
08/01/2018,15:15,,,,,,LIBERTY AVENUE                  ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3954088,Sedan,Sedan,,,
06/13/2016,8:05,,,,,,,,1 AVENUE  EAST 61 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4023418,4 dr sedan,Bike,,,
02/03/2014,3:20,,,,,,,,,1,0,0,0,0,0,1,0,Lost Consciousness,,,,,2988573,PICK-UP TRUCK,,,,
06/13/2016,9:50,,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4023408,Station Wagon/Sport Utility Vehicle,Taxi,,,
06/12/2016,0:00,MANHATTAN,10027,40.80777,-73.94549,POINT (-73.94549 40.80777),WEST 125 STREET                 ,LENOX AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3479672,PASSENGER VEHICLE,,,,
04/09/2020,15:00,,,,,,VANWYCK EXPRESSWAY              ,135 AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4308939,Station Wagon/Sport Utility Vehicle,,,,
02/03/2014,9:04,,,,,,COOP CITY BOULEVARD             ,BELLAMY LOOP                    ,,0,0,0,0,0,0,0,0,Other Vehicular,Pavement Slippery,,,,91869,BUS,BUS,,,
04/09/2020,7:50,,,,,,BROOKLYN BATTERY TUNNEL         ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4308797,Ambulance,Station Wagon/Sport Utility Vehicle,,,
06/12/2016,16:15,,,,,,BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3461395,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/20/2019,15:00,,,,,,,,1260      Marconi Street                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4262513,Sedan,Sedan,,,
08/01/2018,5:15,,,40.895195,-73.88012,POINT (-73.88012 40.895195),JEROME AVENUE                   ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4026252,Sedan,,,,
08/01/2018,7:01,,,,,,conduit boulevard south         ,forbell street,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3952542,Bus,,,,
02/02/2014,0:05,,,,,,,,PARKING LOT 158-13 GOETHALS AVENUE      ,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,238259,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/08/2020,7:10,,,,,,CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Pavement Defective,,,,,4308089,Pick-up Truck,,,,
06/12/2016,21:25,,,,,,DYCKMAN STREET                  ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3460309,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/02/2014,15:10,,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3090577,PASSENGER VEHICLE,VAN,,,
04/06/2020,13:05,BRONX,10451,,,,EXTERIOR STREET                 ,EAST 138 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4307885,Station Wagon/Sport Utility Vehicle,Cargo,,,
04/06/2020,19:20,,,,,,CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4307849,Sedan,,,,
07/31/2018,13:12,,,40.833736,-73.88881,POINT (-73.88881 40.833736),HOE AVENUE                      ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3953333,Sedan,,,,
06/12/2016,7:30,,,,,,GRAND CENTRAL PARKWAY           ,MAIN STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3463350,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/31/2018,14:15,,,,,,SOUND VIEW AVENUE               ,LELAND AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3952732,Sedan,Bus,,,
02/02/2014,1:27,,,,,,LINCOLN ROAD                    ,FLATBUSH AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,155662,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/02/2014,22:20,,,,,,,,PARKING LOT OF 4924 ARTHUR KILL ROAD    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,303988,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/31/2018,14:50,,,,,,SHORE ROAD                      ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3952251,Sedan,Station Wagon/Sport Utility Vehicle,,,
02/02/2014,23:15,,,,,,BRIGHTON 15 STREET              ,BRIGHTON BEACH AVENUE           ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,116098,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
06/11/2016,12:30,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3461016,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/02/2014,5:10,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,2873489,SPORT UTILITY / STATION WAGON,,,,
02/02/2014,7:58,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3046264,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
06/11/2016,14:45,,,,,,MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3465032,PASSENGER VEHICLE,VAN,,,
04/04/2020,22:52,BROOKLYN,11207,40.66919,-73.8857,POINT (-73.8857 40.66919),BLAKE AVENUE                    ,JEROME STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4307654,Sedan,Sedan,,,
06/11/2016,15:15,,,,,,,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4022658,4 dr sedan,4 dr sedan,,,
04/04/2020,7:45,,,,,,BRONX RIVER PARKWAY             ,MOSHOLU PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,4307497,Sedan,,,,
04/03/2020,17:45,,,40.73283,-73.97415,POINT (-73.97415 40.73283),FDR DRIVE                       ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,4307474,Sedan,,,,
02/23/2016,23:30,,,,,,,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,3395111,SPORT UTILITY / STATION WAGON,,,,
02/01/2014,16:15,,,,,,EAST BURNSIDE AVENUE            ,GRAND CONCOURSE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,94668,VAN,LARGE COM VEH(6 OR MORE TIRES),,,
06/11/2016,19:00,,,,,,BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3461545,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/31/2018,7:25,BRONX,10456,40.830048,-73.90632,POINT (-73.90632 40.830048),,,3475      3 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3952146,Sedan,,,,
04/03/2020,6:10,,,,,,HUTCHINSON RIVER PARKWAY        ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4308214,Bus,,,,
07/30/2018,11:00,,,40.792263,-73.79332,POINT (-73.79332 40.792263),THROGS NECK BRIDGE              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3952522,Sedan,,,,
06/11/2016,7:16,,,,,,2 AVENUE                        ,QUEENSBORO BRIDGE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3460198,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,0:00,,,,,,VERRAZANO BRIDGE                ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3461774,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,11:00,QUEENS,11378,,,,GRAND AVENUE                    ,57 DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459493,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/01/2020,7:56,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4305034,Sedan,,,,
07/30/2018,17:13,QUEENS,11367,,,,JEWEL AVENUE                    ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,,,,,,4056107,,,,,
01/31/2014,14:10,,,40.8264543,-73.8553285,POINT (-73.8553285 40.8264543),,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2889433,VAN,PASSENGER VEHICLE,,,
06/10/2016,14:45,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3460266,PASSENGER VEHICLE,,,,
01/31/2014,14:20,,,,,,,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,2976661,VAN,PASSENGER VEHICLE,,,
07/30/2018,21:14,,,40.736732,-73.85451,POINT (-73.85451 40.736732),LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3951337,Taxi,Taxi,Taxi,,
06/10/2016,16:00,,,,,,STATEN ISLAND EXPY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3461768,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/10/2016,16:40,,,,,,STATEN ISLAND EXPY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3463144,PASSENGER VEHICLE,VAN,,,
07/30/2018,3:00,,,,,,,,,0,0,0,0,0,0,0,0,Animals Action,,,,,3952233,Station Wagon/Sport Utility Vehicle,,,,
01/31/2014,17:50,,,,,,,,PARKING GARAGE 88-11 165 ST             ,0,0,0,0,0,0,0,0,Unspecified,,,,,212877,PASSENGER VEHICLE,,,,
07/30/2018,8:15,,,,,,WEST 63 STREET                  ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3954249,Sedan,,,,
03/30/2020,6:26,,,,,,VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4305065,Sedan,,,,
06/10/2016,18:28,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3460264,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
03/29/2020,12:30,,,,,,NASSAU EXPRESSWAY               ,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4304458,Sedan,,,,
01/31/2014,22:08,,,,,,,,800 BANKS ST (PARKING LOT)              ,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,147275,SPORT UTILITY / STATION WAGON,,,,
03/29/2020,20:59,,,,,,grand central parkway service ro,81 avenue,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4304607,Sedan,,,,
01/31/2014,2:35,,,,,,,,REAR OF 74 TILLER COURT                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,303977,PASSENGER VEHICLE,,,,
07/29/2018,17:10,QUEENS,11109,,,,47 ROAD                         ,CENTER BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3950496,Station Wagon/Sport Utility Vehicle,,,,
03/27/2020,0:00,,,40.875122,-73.905174,POINT (-73.905174 40.875122),MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4304452,Sedan,,,,
07/29/2018,18:50,,,,,,GRANT CIRCLE                    ,EAST 177 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3950356,Pick-up Truck,Sedan,,,
06/10/2016,9:15,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3465088,PASSENGER VEHICLE,,,,
07/29/2018,21:36,,,,,,WESTCHESTER AVENUE              ,GRANT CIRCLE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3951609,Taxi,Sedan,,,
03/27/2020,18:40,BRONX,10464,,,,,,1         CITY ISLAND ROAD              ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4304552,Sedan,Bike,,,
03/27/2020,19:15,QUEENS,11419,40.693604,-73.8229,POINT (-73.8229 40.693604),,,124-05    95 AVENUE                     ,0,0,0,0,0,0,0,0,Glare,,,,,4304485,Sedan,,,,
01/30/2014,14:30,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2919333,PASSENGER VEHICLE,VAN,,,
03/27/2020,6:48,,,,,,ROCKAWAY BOULEVARD              ,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4304114,Sedan,Sedan,,,
01/30/2014,15:25,,,,,,STONE AVENUE                    ,EAST NEW YORK AVENUE            ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,163178,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/27/2020,9:55,,,40.809563,-73.92923,POINT (-73.92923 40.809563),EAST 135 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4304512,Sedan,Sedan,,,
01/30/2014,17:25,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,2965603,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/30/2014,19:00,,,,,,RICHMOND AVENUE                 ,DRUMGOOLE ROAD WEST             ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,292762,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/26/2020,20:00,QUEENS,11428,40.728207,-73.73817,POINT (-73.73817 40.728207),,,90-42     BORKEL PLACE                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,4304245,Sedan,,,,
01/30/2014,1:45,,,,,,,,506 6TH ST & 7TH AVE                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,179118,AMBULANCE,,,,
01/30/2014,21:30,,,,,,,,,0,0,0,0,0,0,0,0,Prescription Medication,Turning Improperly,,,,2913971,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/18/2020,23:40,,,,,,WHITESTONE EXPRESSWAY           ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4275265,Station Wagon/Sport Utility Vehicle,,,,
06/09/2016,17:39,,,,,,HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459216,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/25/2020,16:00,,,,,,HUTCHINSON RIVER PARKWAY        ,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,4303831,Station Wagon/Sport Utility Vehicle,,,,
07/28/2018,16:30,QUEENS,11385,40.705135,-73.90293,POINT (-73.90293 40.705135),,,2012      MADISON STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3950616,Sedan,,,,
06/09/2016,18:25,,,,,,BROOKLYN BRIDGE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3461037,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,21:27,,,,,,BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459744,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/28/2018,19:40,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3950470,Sedan,Bus,,,
06/09/2016,22:05,BROOKLYN,11224,40.580376,-73.983315,POINT (-73.983315 40.580376),,,2757      WEST 15 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3460473,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/30/2014,9:35,,,,,,WEST 133 STREET                 ,5 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,68043,TAXI,TAXI,,,
07/28/2018,22:20,,,40.786785,-73.80971,POINT (-73.80971 40.786785),CROSS ISLAND PARKWAY            ,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,,,,,3949913,Motorcycle,,,,
06/09/2016,7:15,,,40.77006,-73.90679,POINT (-73.90679 40.77006),42 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3459634,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/29/2014,12:20,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2976657,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/29/2014,13:46,,,40.7925199,-73.9343547,POINT (-73.9343547 40.7925199),,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2853713,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/23/2020,12:55,BROOKLYN,11207,40.668247,-73.8873,POINT (-73.8873 40.668247),,,503       SCHENCK AVENUE                ,1,0,0,0,0,0,1,0,Unspecified,,,,,4303461,Sedan,,,,
06/08/2016,10:06,,,,,,,,285       VANPELT AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3458203,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/27/2018,0:00,,,,,,WEST SERVICE ROAD               ,ARDEN ROAD,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,3950064,Sedan,,,,
01/29/2014,14:43,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3023991,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/08/2016,12:20,,,,,,gcp                             ,,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,3458899,PASSENGER VEHICLE,,,,
01/29/2014,16:20,,,40.7965332,-73.9759553,POINT (-73.9759553 40.7965332),,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2855206,PASSENGER VEHICLE,UNKNOWN,,,
03/23/2020,9:00,,,,,,STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4307211,Station Wagon/Sport Utility Vehicle,Sedan,,,
07/27/2018,12:39,,,40.701214,-73.80158,POINT (-73.80158 40.701214),BEAVER ROAD                     ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3950271,Pick-up Truck,Sedan,,,
03/22/2020,14:20,,,,,,,,65B       9 AVENUE                      ,0,0,0,0,0,0,0,0,,,,,,4304627,,,,,
07/27/2018,14:04,,,40.608757,-74.038086,POINT (-74.038086 40.608757),VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3949875,Sedan,Sedan,,,
01/29/2014,18:35,,,,,,,,PARKING LOT OF 2116 BARTOW AVENUE       ,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,91835,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/22/2020,17:00,MANHATTAN,10038,40.707214,-74.002754,POINT (-74.002754 40.707214),BEEKMAN STREET                  ,FRONT STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4303742,Sedan,,,,
06/08/2016,15:30,,,,,,,,*         BROOKLYN QNS EXPRESSWAY       ,0,0,0,0,0,0,0,0,Unspecified,,,,,3488407,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/27/2018,15:30,,,,,,LONG ISLAND EXPRESSWAY          ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3950137,Sedan,Pick-up Truck,,,
01/29/2014,22:15,,,,,,ASTORIA BOULEVARD SOUTH         ,46 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,278929,PASSENGER VEHICLE,PICK-UP TRUCK,,,
06/08/2016,17:20,,,40.67538,-73.9082,POINT (-73.9082 40.67538),EASTERN PARKWAY                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458590,PASSENGER VEHICLE,,,,
03/21/2020,14:20,,,,,,HUTCHINSON RIVER PARKWAY        ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4303179,Sedan,,,,
06/08/2016,17:50,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3458812,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/29/2014,8:50,,,40.7374593,-73.7410827,POINT (-73.7410827 40.7374593),,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3080615,PASSENGER VEHICLE,UNKNOWN,,,
07/27/2018,18:29,BROOKLYN,11223,,,,WEST 6TH STREET                 ,Quentin Road,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3950107,Station Wagon/Sport Utility Vehicle,,,,
06/08/2016,20:30,,,,,,BROOKVILLE BOULEVARD            ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,3458767,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/29/2014,9:45,,,,,,COLLEGE POINT BOULEVARD         ,HORACE HARDING EXPRESSWAY       ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,254298,OTHER,OTHER,,,
01/28/2014,11:50,,,,,,RYERSON STREET                  ,PARK AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,193701,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/20/2020,16:10,,,40.636463,-73.9118,POINT (-73.9118 40.636463),FLATLANDS AVENUE                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4302871,Ambulance,Pick-up Truck,,,
07/27/2018,6:14,,,,,,FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3950296,Station Wagon/Sport Utility Vehicle,,,,
07/27/2018,8:15,,,40.657413,-73.983,POINT (-73.983 40.657413),PROSPECT EXPRESSWAY EAST        ,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3949379,Sedan,Sedan,,,
01/28/2014,16:32,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2976651,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/28/2014,17:20,,,,,,169 STREET                      ,HOMELAWN STREET                 ,,0,0,0,0,0,0,0,0,Lost Consciousness,Other Vehicular,,,,238205,PASSENGER VEHICLE,BUS,,,
03/20/2020,6:30,,,,,,,,12        ERICSSON PLACE                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4302558,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
06/07/2016,13:30,,,,,,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3461506,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/28/2014,20:58,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,2965599,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/28/2014,22:32,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2834177,TAXI,UNKNOWN,,,
01/28/2014,7:10,,,,,,UTICA AVENUE                    ,FULTON STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,184374,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/26/2018,15:15,,,,,,MANOR ROAD                      ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3948850,Station Wagon/Sport Utility Vehicle,Sedan,,,
